City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Vestmannaeyjar,IS,2021-02-07 18:05:25,63.4427,-20.2734,35.6,80,40,25.32
134,Fort Nelson,CA,2021-02-07 18:06:51,58.8053,-122.7002,-36.4,74,40,2.3
135,Urucara,BR,2021-02-07 18:06:51,-2.5364,-57.76,85.05,74,97,3.29
136,Birao,CF,2021-02-07 18:06:51,10.2849,22.7882,70.63,22,78,6.15
137,Namibe,AO,2021-02-07 18:06:21,-15.1961,12.1522,73.09,77,97,6.13
138,Salinopolis,BR,2021-02-07 18:06:52,-0.6136,-47.3561,81.43,83,65,10.63
139,Sabha,LY,2021-02-07 18:06:52,27.0377,14.4283,74.23,16,93,15.32
140,Iqaluit,CA,2021-02-07 18:06:52,63.7506,-68.5145,26.6,68,75,19.57
141,Sitka,US,2021-02-07 18:03:19,57.0531,-135.33,30.2,47,1,5.75
142,Bilma,NE,2021-02-07 18:06:52,18.6853,12.9164,68.68,21,75,5.28
143,Georgetown,MY,2021-02-07 18:06:52,5.4112,100.3354,82.4,83,20,3.44
144,Panjab,AF,2021-02-07 18:06:52,34.388,67.0233,23.61,82,37,1.54
145,Kodiak,US,2021-02-07 18:02:54,57.79,-152.4072,26.6,68,1,4.61
146,Cabo San Lucas,MX,2021-02-07 18:01:54,22.8909,-109.9124,77.0,52,40,4.05
147,Saint George,US,2021-02-07 18:02:38,37.1041,-113.5841,44.6,36,1,3.44
148,Broome,US,2021-02-07 18:03:18,42.2506,-75.833,33.01,93,90,6.91
149,Bambari,CF,2021-02-07 18:06:53,5.768,20.6757,80.94,16,22,2.77
150,Qaanaaq,GL,2021-02-07 18:06:53,77.484,-69.3632,11.64,87,99,4.79
151,Port Blair,IN,2021-02-07 18:06:53,11.6667,92.75,78.6,79,0,9.04
152,Kahului,US,2021-02-07 18:05:06,20.8947,-156.47,68.0,77,20,5.75
153,Zakamensk,RU,2021-02-07 18:06:53,50.3741,103.2863,1.6,87,10,3.76
154,Isangel,VU,2021-02-07 18:06:54,-19.55,169.2667,77.41,79,40,4.92
155,Gueret,FR,2021-02-07 18:04:25,46.1667,1.8667,39.2,87,75,5.75
156,Dingle,PH,2021-02-07 18:06:54,10.9995,122.6711,75.47,91,100,8.93
157,Lagoa,PT,2021-02-07 18:06:54,39.05,-27.9833,57.7,73,100,20.27
158,Houston,US,2021-02-07 18:03:29,29.7633,-95.3633,59.0,54,1,9.22
159,Upernavik,GL,2021-02-07 18:04:38,72.7868,-56.1549,18.43,80,15,3.6
160,Kinwat,IN,2021-02-07 18:06:54,19.6333,78.2,64.13,27,43,2.89
161,Lavrentiya,RU,2021-02-07 18:05:10,65.5833,-171.0,-11.22,84,0,5.3
162,Klaksvik,FO,2021-02-07 18:02:08,62.2266,-6.589,35.6,75,40,13.8
163,Daye,CN,2021-02-07 18:06:55,30.0833,114.95,50.77,89,100,2.35
164,Solnechnyy,RU,2021-02-07 18:02:12,50.7214,136.6319,0.1,89,95,3.98
165,Ola,RU,2021-02-07 18:03:36,59.5833,151.2833,13.91,88,100,23.6
166,Ugoofaaru,MV,2021-02-07 18:06:55,5.6667,73.0,81.63,75,51,10.87
167,Geraldton,AU,2021-02-07 18:06:55,-28.7667,114.6,69.8,78,40,9.22
168,Riyadh,SA,2021-02-07 18:06:23,24.6877,46.7219,60.8,51,0,10.36
169,Pilar,BR,2021-02-07 18:06:56,-9.5972,-35.9567,87.8,62,40,14.97
170,Antalaha,MG,2021-02-07 18:06:56,-14.9003,50.2788,78.44,82,82,3.2
171,Christchurch,NZ,2021-02-07 18:06:56,-43.5333,172.6333,60.01,100,75,8.05
172,Aklavik,CA,2021-02-07 18:04:28,68.2191,-135.0107,-13.0,70,90,12.66
173,Luderitz,NA,2021-02-07 18:05:36,-26.6481,15.1594,73.72,55,0,31.09
174,Hilo,US,2021-02-07 18:02:59,19.7297,-155.09,66.99,52,1,8.05
175,Ambilobe,MG,2021-02-07 18:03:21,-13.2,49.05,75.42,90,100,2.35
176,Sao Joao Da Barra,BR,2021-02-07 18:05:17,-21.6403,-41.0511,73.4,94,90,6.91
177,Qandala,SO,2021-02-07 18:06:57,11.472,49.8728,76.44,71,14,3.22
178,Provideniya,RU,2021-02-07 18:05:09,64.3833,-173.3,-3.91,77,33,16.49
179,Torbay,CA,2021-02-07 18:06:57,47.6666,-52.7314,34.0,55,20,36.82
180,Cidreira,BR,2021-02-07 18:03:30,-30.1811,-50.2056,76.41,62,35,10.42
181,Ewa Beach,US,2021-02-07 18:05:37,21.3156,-158.0072,64.4,72,1,3.44
182,Bukavu,CD,2021-02-07 18:06:57,-2.5083,28.8608,64.9,83,58,2.28
183,Bom Jesus,BR,2021-02-07 18:06:57,-9.0744,-44.3586,85.03,62,99,3.98
184,Bengkulu,ID,2021-02-07 18:02:58,-3.8004,102.2655,76.46,85,100,6.29
185,Srednekolymsk,RU,2021-02-07 18:04:34,67.45,153.6833,-7.74,86,100,6.4
186,Coolum Beach,AU,2021-02-07 18:06:58,-26.5333,153.1,77.0,97,96,10.69
187,Shostka,UA,2021-02-07 18:06:58,51.863,33.4698,2.23,92,46,4.5
188,Jaffna,LK,2021-02-07 18:02:27,9.6685,80.0074,78.03,78,20,17.49
189,Harper,LR,2021-02-07 18:03:37,4.375,-7.7169,81.97,80,82,7.74
190,Marienburg,PL,2021-02-07 18:06:58,54.0359,19.0266,10.99,100,62,10.25
191,Obo,CF,2021-02-07 18:06:59,5.3998,26.4869,74.14,20,77,4.65
192,Poya,NC,2021-02-07 18:06:59,-21.35,165.15,74.26,80,100,3.11
193,Nortelandia,BR,2021-02-07 18:06:59,-14.4547,-56.8028,90.68,39,44,3.98
194,Shirokiy,RU,2021-02-07 18:05:37,49.758,129.523,-18.35,87,0,8.57
195,Vytegra,RU,2021-02-07 18:06:59,61.0064,36.4481,-7.62,90,9,2.77
196,Sorland,NO,2021-02-07 18:07:00,67.667,12.6934,35.6,80,40,19.57
197,Portland,US,2021-02-07 18:02:16,45.5234,-122.6762,44.6,70,90,3.44
198,Port Pirie,AU,2021-02-07 18:07:00,-33.1833,138.0167,62.6,77,0,10.36
199,Arica,CL,2021-02-07 18:04:14,-18.475,-70.3042,77.0,53,0,16.11
200,Esperance,AU,2021-02-07 18:07:00,-33.8667,121.9,64.4,82,90,14.97
201,Southbridge,US,2021-02-07 18:07:01,42.0751,-72.0334,28.99,88,100,7.94
202,Kibala,TD,2021-02-07 18:07:01,9.1104,18.3463,89.6,18,0,5.48
203,Hermitage,US,2021-02-07 18:07:01,41.2334,-80.4487,23.0,63,75,12.66
204,Bulgan,MN,2021-02-07 18:07:01,48.8125,103.5347,10.18,84,0,3.71
205,Jeremie,HT,2021-02-07 18:07:01,18.65,-74.1167,83.14,55,48,4.88
206,Porto Novo,BJ,2021-02-07 18:07:01,6.4965,2.6036,87.8,74,20,16.11
207,Lusaka,ZM,2021-02-07 18:07:02,-15.4067,28.2871,69.8,94,75,6.91
208,Port Elizabeth,ZA,2021-02-07 18:03:10,-33.918,25.5701,68.0,94,40,5.75
209,Sistranda,NO,2021-02-07 18:04:12,63.7256,8.834,21.2,86,20,9.22
210,Namwala,ZM,2021-02-07 18:07:02,-15.7504,26.4384,69.76,92,100,3.29
211,Shingu,JP,2021-02-07 18:04:49,33.7333,135.9833,41.38,80,0,5.93
212,Port Hardy,CA,2021-02-07 18:02:59,50.6996,-127.4199,37.4,93,75,10.36
213,Comodoro Rivadavia,AR,2021-02-07 18:07:02,-45.8667,-67.5,64.4,52,20,17.27
214,Ancud,CL,2021-02-07 18:07:03,-41.8697,-73.8203,80.6,34,0,6.91
215,Bidhuna,IN,2021-02-07 18:06:30,26.8022,79.5088,55.35,57,0,3.94
216,The Valley,AI,2021-02-07 18:02:14,18.217,-63.0578,84.2,65,20,18.41
217,Ulaangom,MN,2021-02-07 18:07:03,49.9811,92.0667,-5.75,89,100,0.72
218,Krasnoselkup,RU,2021-02-07 18:04:32,65.7,82.4667,7.9,95,100,17.25
219,Parambu,BR,2021-02-07 18:07:03,-6.2111,-40.6944,89.85,39,72,4.88
220,Sayyan,YE,2021-02-07 18:07:04,15.1718,44.3244,50.95,52,30,8.7
221,Fougamou,GA,2021-02-07 18:07:04,-1.2154,10.5838,75.72,91,100,0.81
222,Hit,IQ,2021-02-07 18:07:04,33.6416,42.8251,60.58,53,0,6.53
223,Aketi,CD,2021-02-07 18:07:04,2.7388,23.7833,75.38,32,43,2.01
224,Taltal,CL,2021-02-07 18:05:14,-25.4,-70.4833,69.73,61,36,6.64
225,Martinsville,US,2021-02-07 18:07:04,36.6915,-79.8725,46.4,66,40,19.57
226,Diu,IN,2021-02-07 18:07:04,20.7141,70.9822,69.67,30,0,7.61
227,Russell,US,2021-02-07 18:05:34,32.3502,-85.1999,51.8,54,40,10.36
228,Meulaboh,ID,2021-02-07 18:05:07,4.1363,96.1285,78.03,84,52,3.58
229,Saint Anthony,US,2021-02-07 18:02:08,45.0205,-93.218,-7.6,54,1,10.36
230,Karratha,AU,2021-02-07 18:07:05,-20.7377,116.8463,78.84,70,54,11.1
231,Aswan,EG,2021-02-07 18:07:05,24.0934,32.907,69.3,36,0,15.21
232,Shaunavon,CA,2021-02-07 18:07:05,49.6501,-108.4181,-20.2,69,76,11.5
233,Chokurdakh,RU,2021-02-07 18:03:21,70.6333,147.9167,-23.75,85,71,7.34
234,Conde,BR,2021-02-07 18:07:05,-7.2597,-34.9075,86.0,70,75,12.66
235,Guiratinga,BR,2021-02-07 18:07:05,-16.3494,-53.7583,84.34,52,41,6.58
236,Suez,EG,2021-02-07 18:07:05,29.9737,32.5263,64.85,49,16,5.37
237,Sisophon,KH,2021-02-07 18:07:06,13.5859,102.9737,78.8,59,84,5.73
238,Ostrovnoy,RU,2021-02-07 18:07:06,68.0531,39.5131,6.37,88,100,1.59
239,Kipini,KE,2021-02-07 18:07:06,-2.5257,40.5262,80.6,78,1,10.36
240,Dabhol,IN,2021-02-07 18:07:06,17.6,73.1667,74.43,41,12,8.7
241,Coihaique,CL,2021-02-07 18:07:06,-45.5752,-72.0662,73.4,35,0,6.91
242,Daru,PG,2021-02-07 18:03:12,-9.0763,143.2092,78.66,86,75,12.48
243,Dourdan,FR,2021-02-07 18:07:06,48.5277,2.0111,34.0,92,100,1.01
244,Lawrenceburg,US,2021-02-07 18:07:07,38.0373,-84.8966,32.0,43,1,8.05
245,Faya,SA,2021-02-07 18:03:53,18.3851,42.4509,57.2,62,0,6.33
246,Ayan,RU,2021-02-07 18:07:07,56.45,138.1667,-4.9,79,100,20.13
247,Amahai,ID,2021-02-07 18:07:07,-3.3333,128.9167,79.38,83,100,3.49
