City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Jacareacanga,BR,-6.2222,-57.7528,73.06,98,96,1.9,overcast clouds
258,Burnie,AU,-41.0667,145.9167,71.01,85,0,5.01,clear sky
259,Batemans Bay,AU,-35.7167,150.1833,71.01,77,10,5.01,clear sky
260,Kodiak,US,57.79,-152.4072,33.8,51,1,5.75,clear sky
261,Takaka,NZ,-40.85,172.8,68.0,79,0,5.01,clear sky
262,Mortka,RU,59.3322,66.0214,31.66,99,100,6.85,snow
263,Kaitangata,NZ,-46.2817,169.8464,64.99,78,0,8.01,clear sky
264,Stornoway,GB,58.2093,-6.3865,36.0,60,40,18.41,scattered clouds
265,Mount Isa,AU,-20.7333,139.5,82.4,69,90,9.22,overcast clouds
266,Vostok,RU,46.4856,135.8833,-4.13,91,100,5.01,overcast clouds
267,Tabuk,PH,17.4189,121.4443,83.28,68,100,3.11,overcast clouds
268,Aksu,CN,41.1231,80.2644,45.48,45,100,1.72,overcast clouds
269,Korla,CN,41.7597,86.1469,40.89,56,100,9.28,overcast clouds
270,Darhan,MN,49.4867,105.9228,12.2,90,0,6.44,clear sky
271,Paris,FR,48.8534,2.3488,41.0,93,90,10.36,light rain
272,Nanortalik,GL,60.1432,-45.2371,28.89,91,28,1.3,scattered clouds
273,Nueve De Julio,AR,-35.4444,-60.8831,64.0,63,0,4.0,clear sky
274,Lubango,AO,-14.9172,13.4925,62.6,53,75,6.91,broken clouds
275,Shingu,JP,33.7333,135.9833,59.0,47,20,19.57,few clouds
276,Savanur,IN,14.9667,75.35,80.6,34,0,8.05,clear sky
277,Te Horo,NZ,-40.8084,175.1233,68.0,72,21,1.01,few clouds
278,Teya,RU,60.3778,92.6267,32.76,94,100,9.86,overcast clouds
279,Maragogi,BR,-9.0122,-35.2225,76.53,85,13,7.43,few clouds
280,Sangar,RU,63.9242,127.4739,-27.53,81,41,9.33,scattered clouds
281,Manado,ID,1.487,124.8455,86.0,70,40,8.05,light rain
282,Tromso,NO,69.6496,18.957,28.4,74,75,11.5,light snow
283,Abalak,RU,58.1286,68.5944,21.06,96,100,15.19,overcast clouds
284,Aykhal,RU,66.0,111.5,-22.25,84,100,8.34,overcast clouds
285,Half Moon Bay,US,37.4636,-122.4286,52.0,71,1,3.44,clear sky
286,Yulara,AU,-25.2406,130.9889,95.0,17,0,11.5,clear sky
287,Lagoa,PT,39.05,-27.9833,59.7,90,100,23.09,overcast clouds
288,Ojinaga,MX,29.5667,-104.4167,51.8,17,1,10.36,clear sky
289,Innisfail,AU,-17.5333,146.0333,85.53,74,100,7.16,overcast clouds
290,Karasjok,NO,69.4719,25.5112,21.2,79,40,19.57,scattered clouds
291,Mascote,BR,-15.5631,-39.3025,74.23,92,100,2.04,overcast clouds
292,Ballina,AU,-28.8667,153.5667,82.4,74,90,10.36,overcast clouds
293,Puerto Carreno,CO,6.189,-67.4859,79.32,62,100,9.4,overcast clouds
294,Alta Floresta,BR,-9.8756,-56.0861,70.25,99,100,3.38,overcast clouds
295,Sapernoye,RU,60.7167,29.9505,17.01,96,100,7.09,overcast clouds
296,Champerico,GT,14.3,-91.9167,62.01,95,0,5.79,clear sky
297,Kirkwall,GB,58.9848,-2.9587,32.0,69,90,21.85,light snow
298,Guilin,CN,25.2819,110.2864,77.0,44,40,4.47,scattered clouds
299,Mangrul Pir,IN,20.3167,77.35,80.04,18,0,7.74,clear sky
300,Khartoum,SD,15.5518,32.5324,66.2,32,0,16.11,clear sky
301,Saint-Joseph,RE,-21.3667,55.6167,86.0,66,0,9.22,clear sky
302,Borogontsy,RU,62.6683,131.1683,-27.13,83,100,3.38,overcast clouds
303,Camacha,PT,33.0833,-16.3333,59.0,67,40,9.22,scattered clouds
304,Sirjan,IR,29.452,55.6814,56.82,35,0,13.15,clear sky
305,Porbandar,IN,21.6422,69.6093,81.95,23,0,9.95,clear sky
306,Sassandra,CI,4.95,-6.0833,75.79,95,71,4.56,broken clouds
307,Camopi,GF,3.1655,-52.3158,72.48,98,100,0.92,overcast clouds
308,Udachnyy,RU,66.4167,112.4,-25.83,83,94,8.23,overcast clouds
309,Vrangel,RU,42.7297,133.0839,16.79,81,0,17.18,clear sky
310,Fairview,US,40.8126,-73.999,39.2,28,1,3.44,clear sky
311,Pec,XK,42.6591,20.2883,35.6,87,100,1.14,overcast clouds
312,Gbarnga,LR,6.9956,-9.4722,69.82,96,22,1.9,few clouds
313,Kovdor,RU,67.5662,30.4758,15.89,95,79,9.17,broken clouds
314,Qorveh,IR,35.1664,47.8045,40.84,74,99,4.5,overcast clouds
315,Cidreira,BR,-30.1811,-50.2056,66.25,78,0,10.69,clear sky
316,Wanning,CN,18.8003,110.3967,75.04,70,0,10.51,clear sky
317,Samarai,PG,-10.6167,150.6667,86.58,67,100,6.2,overcast clouds
318,Altay,CN,47.8667,88.1167,30.31,90,100,1.77,overcast clouds
319,Prince Rupert,CA,54.3161,-130.3201,37.4,86,40,5.75,scattered clouds
320,Kieta,PG,-6.2167,155.6333,83.05,77,100,4.5,moderate rain
321,Nizhniy Kuranakh,RU,58.8353,125.4869,-7.4,88,88,1.74,overcast clouds
322,Syriam,MM,16.7722,96.2378,91.4,43,20,5.75,few clouds
323,Makat,KZ,47.6469,53.3463,27.43,82,73,15.05,broken clouds
324,Joshimath,IN,30.5667,79.5667,66.49,21,0,2.48,clear sky
325,Port Blair,IN,11.6667,92.75,83.35,66,24,13.11,few clouds
326,Zhangye,CN,38.9342,100.4517,48.18,31,23,5.53,few clouds
327,Xining,CN,36.6167,101.7667,37.9,48,100,2.71,overcast clouds
328,Mocuba,MZ,-16.8392,36.9856,86.16,70,20,2.15,few clouds
329,Dobeln,DE,51.1167,13.1167,23.0,89,100,5.01,light snow
330,Longyearbyen,SJ,78.2186,15.6401,19.4,73,75,14.97,broken clouds
331,Narsaq,GL,60.9167,-46.05,42.8,33,75,24.16,broken clouds
332,Tambura,SS,5.6,27.4667,73.24,20,0,9.06,clear sky
333,Port Elizabeth,ZA,-33.918,25.5701,75.2,69,20,17.27,few clouds
334,Kabinda,CD,-6.1333,24.4833,72.81,88,98,3.78,overcast clouds
335,Lompoc,US,34.6391,-120.4579,51.01,93,90,3.44,mist
